#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Fzd1	Dkk1	2103611	2096415	10090.ENSMUSP00000058629	10090.ENSMUSP00000025803	0	0	0	0	0	0	0.954	0.563	0.979
Mthfd1l	Amt	2099574	2099395	10090.ENSMUSP00000036178	10090.ENSMUSP00000035230	0.369	0	0	0	0.423	0	0.900	0.506	0.979
Fzd3	Lrp6	2112550	2098447	10090.ENSMUSP00000115325	10090.ENSMUSP00000032322	0	0	0	0	0	0.165	0.878	0.815	0.979
Wnt4	Sfrp2	2099636	2097579	10090.ENSMUSP00000036580	10090.ENSMUSP00000029625	0	0	0	0	0	0.204	0.800	0.881	0.979
Amt	Mthfd2	2099395	2093734	10090.ENSMUSP00000035230	10090.ENSMUSP00000005810	0.222	0	0	0	0.643	0	0.900	0.338	0.979
Amt	Mthfd1	2099395	2095182	10090.ENSMUSP00000035230	10090.ENSMUSP00000021443	0.369	0	0	0	0.423	0	0.900	0.479	0.978
Wnt5a	Wif1	2104589	2094864	10090.ENSMUSP00000064878	10090.ENSMUSP00000020439	0	0	0	0	0	0.088	0.944	0.608	0.978
Mtr	Shmt1	2109768	2094559	10090.ENSMUSP00000097442	10090.ENSMUSP00000018744	0	0	0	0	0	0	0.900	0.798	0.978
Wnt5b	Lrp6	2112347	2098447	10090.ENSMUSP00000113188	10090.ENSMUSP00000032322	0	0	0	0	0	0.198	0.886	0.778	0.978
Amt	Shmt1	2099395	2094559	10090.ENSMUSP00000035230	10090.ENSMUSP00000018744	0.288	0	0	0	0.349	0.230	0.900	0.488	0.978
Ccnd1	Ctnnb1	2108527	2093883	10090.ENSMUSP00000091495	10090.ENSMUSP00000007130	0	0	0	0	0	0.638	0.628	0.852	0.978
Gcsh	Shmt2	2099753	2096621	10090.ENSMUSP00000037131	10090.ENSMUSP00000026470	0.398	0	0	0	0.276	0	0.900	0.574	0.978
Fzd4	Wnt2b	2102112	2097506	10090.ENSMUSP00000049852	10090.ENSMUSP00000029429	0	0	0	0	0	0.257	0.879	0.765	0.977
Fzd4	Dvl1	2102112	2098025	10090.ENSMUSP00000049852	10090.ENSMUSP00000030948	0	0	0	0	0	0.300	0.800	0.850	0.977
Fzd4	Wnt3	2102112	2093060	10090.ENSMUSP00000049852	10090.ENSMUSP00000000127	0	0	0	0	0	0.257	0.900	0.721	0.977
Mthfd1l	Ftcd	2099574	2093205	10090.ENSMUSP00000036178	10090.ENSMUSP00000001183	0.587	0	0	0	0	0	0.900	0.490	0.977
Wnt16	Fzd6	2098273	2095664	10090.ENSMUSP00000031681	10090.ENSMUSP00000022906	0	0	0	0	0	0.255	0.800	0.857	0.977
Porcn	Wnt3a	2106493	2094044	10090.ENSMUSP00000076790	10090.ENSMUSP00000010044	0	0	0	0	0	0.539	0.900	0.554	0.977
Fzd1	Gsk3b	2103611	2095854	10090.ENSMUSP00000058629	10090.ENSMUSP00000023507	0	0	0	0	0	0.270	0.928	0.612	0.977
Wnt5b	Fzd4	2112347	2102112	10090.ENSMUSP00000113188	10090.ENSMUSP00000049852	0	0	0	0	0	0.257	0.894	0.734	0.977
Wnt5a	Fzd9	2104589	2102740	10090.ENSMUSP00000064878	10090.ENSMUSP00000053551	0	0	0	0	0	0.257	0.879	0.769	0.977
Lrp5	Wnt2	2096438	2094091	10090.ENSMUSP00000025856	10090.ENSMUSP00000010941	0	0	0	0	0	0	0.800	0.893	0.977
Fzd5	Dvl2	2104983	2094637	10090.ENSMUSP00000067783	10090.ENSMUSP00000019362	0	0	0	0	0	0.300	0.894	0.715	0.977
Lrp6	Wnt2b	2098447	2097506	10090.ENSMUSP00000032322	10090.ENSMUSP00000029429	0	0	0	0	0	0.198	0.885	0.778	0.977
Mthfs	Mthfd1	2107433	2095182	10090.ENSMUSP00000082354	10090.ENSMUSP00000021443	0.397	0	0	0	0	0.347	0.900	0.472	0.976
Dkk1	Kremen1	2096415	2094939	10090.ENSMUSP00000025803	10090.ENSMUSP00000020662	0	0	0	0	0	0.381	0.559	0.921	0.976
Wnt4	Sfrp1	2099636	2098938	10090.ENSMUSP00000036580	10090.ENSMUSP00000033952	0	0	0	0	0	0.204	0.800	0.862	0.976
Fzd6	Dvl2	2095664	2094637	10090.ENSMUSP00000022906	10090.ENSMUSP00000019362	0	0	0	0	0	0.300	0.908	0.670	0.976
Lrp6	Fzd6	2098447	2095664	10090.ENSMUSP00000032322	10090.ENSMUSP00000022906	0	0	0	0	0	0.165	0.878	0.782	0.976
Axin1	Myc	2105990	2095683	10090.ENSMUSP00000073974	10090.ENSMUSP00000022971	0	0	0	0	0	0.165	0.559	0.940	0.976
Fzd8	Dvl2	2100231	2094637	10090.ENSMUSP00000039660	10090.ENSMUSP00000019362	0	0	0	0	0	0.300	0.894	0.707	0.976
Fzd1	Wnt2	2103611	2094091	10090.ENSMUSP00000058629	10090.ENSMUSP00000010941	0	0	0	0	0	0.257	0.908	0.689	0.976
Wnt11	Fzd7	2104506	2100625	10090.ENSMUSP00000064333	10090.ENSMUSP00000041825	0	0	0	0	0	0.204	0.900	0.728	0.976
Fzd2	Wnt2b	2108516	2097506	10090.ENSMUSP00000091463	10090.ENSMUSP00000029429	0	0	0	0	0	0.257	0.882	0.737	0.975
Wnt7b	Fzd9	2111258	2102740	10090.ENSMUSP00000105051	10090.ENSMUSP00000053551	0	0	0	0	0	0.257	0.882	0.744	0.975
Fzd2	Gsk3b	2108516	2095854	10090.ENSMUSP00000091463	10090.ENSMUSP00000023507	0	0	0	0	0	0.270	0.928	0.576	0.975
Mthfd1l	Mthfd1	2099574	2095182	10090.ENSMUSP00000036178	10090.ENSMUSP00000021443	0.587	0	0.527	0.968	0.110	0.400	0.900	0.685	0.975
Fzd1	Wnt3	2103611	2093060	10090.ENSMUSP00000058629	10090.ENSMUSP00000000127	0	0	0	0	0	0.257	0.908	0.675	0.975
Wnt5b	Fzd9	2112347	2102740	10090.ENSMUSP00000113188	10090.ENSMUSP00000053551	0	0	0	0	0	0.257	0.879	0.739	0.974
Wnt9a	Lrp6	2111153	2098447	10090.ENSMUSP00000104411	10090.ENSMUSP00000032322	0	0	0	0	0	0.165	0.800	0.858	0.974
Fzd2	Wnt2	2108516	2094091	10090.ENSMUSP00000091463	10090.ENSMUSP00000010941	0	0	0	0	0	0.257	0.888	0.721	0.974
Mthfd1l	Mthfd2	2099574	2093734	10090.ENSMUSP00000036178	10090.ENSMUSP00000005810	0.454	0	0	0.644	0.332	0.165	0.900	0.728	0.974
Fzd9	Wnt2b	2102740	2097506	10090.ENSMUSP00000053551	10090.ENSMUSP00000029429	0	0	0	0	0	0.257	0.879	0.734	0.974
Fzd2	Dkk1	2108516	2096415	10090.ENSMUSP00000091463	10090.ENSMUSP00000025803	0	0	0	0	0	0	0.944	0.552	0.974
Amt	Shmt2	2099395	2096621	10090.ENSMUSP00000035230	10090.ENSMUSP00000026470	0.288	0	0	0	0.349	0.230	0.900	0.403	0.974
Wnt8b	Dkk1	2100807	2096415	10090.ENSMUSP00000042867	10090.ENSMUSP00000025803	0	0	0	0	0	0	0.928	0.664	0.974
Sfrp1	Wnt8a	2098938	2094132	10090.ENSMUSP00000033952	10090.ENSMUSP00000012426	0	0	0	0	0	0.638	0.800	0.678	0.974
Fzd1	Wnt2b	2103611	2097506	10090.ENSMUSP00000058629	10090.ENSMUSP00000029429	0	0	0	0	0	0.257	0.882	0.720	0.973
Wnt5b	Porcn	2112347	2106493	10090.ENSMUSP00000113188	10090.ENSMUSP00000076790	0	0	0	0	0	0.539	0.900	0.474	0.973
Apc	Dvl2	2106775	2094637	10090.ENSMUSP00000078337	10090.ENSMUSP00000019362	0	0	0	0	0	0.600	0.908	0.338	0.973
Ctbp1	Apc	2106847	2106775	10090.ENSMUSP00000078682	10090.ENSMUSP00000078337	0	0	0	0	0	0.401	0.954	0.126	0.973
Lrp6	Kremen1	2098447	2094939	10090.ENSMUSP00000032322	10090.ENSMUSP00000020662	0	0	0	0	0	0	0.559	0.942	0.973
Dkk1	Wnt8a	2096415	2094132	10090.ENSMUSP00000025803	10090.ENSMUSP00000012426	0	0	0	0	0	0	0.928	0.640	0.973
Fzd3	Dvl2	2112550	2094637	10090.ENSMUSP00000115325	10090.ENSMUSP00000019362	0	0	0	0	0	0.300	0.882	0.699	0.973
Ctbp1	Ctnnb1	2106847	2093883	10090.ENSMUSP00000078682	10090.ENSMUSP00000007130	0	0	0	0	0	0.164	0.961	0.245	0.973
Fzd5	Wnt2	2104983	2094091	10090.ENSMUSP00000067783	10090.ENSMUSP00000010941	0	0	0	0	0	0.257	0.900	0.675	0.973
Fzd9	Wnt2	2102740	2094091	10090.ENSMUSP00000053551	10090.ENSMUSP00000010941	0	0	0	0	0	0.257	0.894	0.687	0.973
Fpgs	Mthfd1	2097116	2095182	10090.ENSMUSP00000028148	10090.ENSMUSP00000021443	0.397	0	0	0	0.147	0	0.900	0.540	0.973
Fzd4	Wnt1	2102112	2095926	10090.ENSMUSP00000049852	10090.ENSMUSP00000023734	0	0	0	0	0	0.257	0.900	0.654	0.972
Mtr	Mthfd1l	2109768	2099574	10090.ENSMUSP00000097442	10090.ENSMUSP00000036178	0.179	0	0	0	0	0	0.900	0.696	0.972
Porcn	Wnt3	2106493	2093060	10090.ENSMUSP00000076790	10090.ENSMUSP00000000127	0	0	0	0	0	0.539	0.900	0.442	0.972
Porcn	Wnt1	2106493	2095926	10090.ENSMUSP00000076790	10090.ENSMUSP00000023734	0	0	0	0	0	0.539	0.900	0.460	0.972
Gsk3b	Cdh1	2095854	2093091	10090.ENSMUSP00000023507	10090.ENSMUSP00000000312	0	0	0	0	0	0.531	0	0.943	0.972
Dvl1	Ctnnb1	2098025	2093883	10090.ENSMUSP00000030948	10090.ENSMUSP00000007130	0	0	0	0	0.090	0.529	0.628	0.848	0.972
Ep300	Cdk4	2104849	2093868	10090.ENSMUSP00000066789	10090.ENSMUSP00000006911	0	0	0	0	0	0.148	0.900	0.701	0.972
Mtr	Mat2a	2109768	2107985	10090.ENSMUSP00000097442	10090.ENSMUSP00000087118	0.219	0	0	0	0	0	0.900	0.672	0.972
Jun	Myc	2102864	2095683	10090.ENSMUSP00000054270	10090.ENSMUSP00000022971	0	0	0	0	0	0.401	0.628	0.887	0.972
Wnt7b	Porcn	2111258	2106493	10090.ENSMUSP00000105051	10090.ENSMUSP00000076790	0	0	0	0	0	0.539	0.900	0.425	0.971
Wnt11	Fzd1	2104506	2103611	10090.ENSMUSP00000064333	10090.ENSMUSP00000058629	0	0	0	0	0	0.204	0.900	0.674	0.971
Fzd2	Wnt3	2108516	2093060	10090.ENSMUSP00000091463	10090.ENSMUSP00000000127	0	0	0	0	0	0.257	0.882	0.699	0.971
Porcn	Wnt5a	2106493	2104589	10090.ENSMUSP00000076790	10090.ENSMUSP00000064878	0	0	0	0	0	0.539	0.900	0.431	0.971
Porcn	Wnt7a	2106493	2098401	10090.ENSMUSP00000076790	10090.ENSMUSP00000032180	0	0	0	0	0	0.539	0.900	0.427	0.971
Tyms	Mthfd1	2096725	2095182	10090.ENSMUSP00000026846	10090.ENSMUSP00000021443	0.128	0	0	0	0.095	0	0.900	0.683	0.971
Mapk8	Fosl1	2111593	2096435	10090.ENSMUSP00000107576	10090.ENSMUSP00000025850	0	0	0	0	0	0.284	0.800	0.819	0.971
Fzd8	Wnt2	2100231	2094091	10090.ENSMUSP00000039660	10090.ENSMUSP00000010941	0	0	0	0	0	0.257	0.900	0.651	0.971
Fzd1	Wnt7a	2103611	2098401	10090.ENSMUSP00000058629	10090.ENSMUSP00000032180	0	0	0	0	0	0.257	0.882	0.687	0.970
Lrp6	Wnt16	2098447	2098273	10090.ENSMUSP00000032322	10090.ENSMUSP00000031681	0	0	0	0	0	0.198	0.878	0.716	0.970
Fzd7	Wnt2b	2100625	2097506	10090.ENSMUSP00000041825	10090.ENSMUSP00000029429	0	0	0	0	0	0.257	0.882	0.687	0.970
Lrp5	Gsk3b	2096438	2095854	10090.ENSMUSP00000025856	10090.ENSMUSP00000023507	0	0	0	0	0	0	0.900	0.717	0.970
Atic	Mthfd2	2096883	2093734	10090.ENSMUSP00000027384	10090.ENSMUSP00000005810	0.399	0	0	0	0.375	0	0.900	0.297	0.970
Porcn	Wnt4	2106493	2099636	10090.ENSMUSP00000076790	10090.ENSMUSP00000036580	0	0	0	0	0	0.539	0.900	0.392	0.969
Wnt9a	Wnt4	2111153	2099636	10090.ENSMUSP00000104411	10090.ENSMUSP00000036580	0	0	0	0.867	0	0.668	0.900	0.868	0.969
Dhfr	Shmt1	2095430	2094559	10090.ENSMUSP00000022218	10090.ENSMUSP00000018744	0	0	0	0	0.213	0	0.900	0.646	0.969
Sardh	Shmt1	2110430	2094559	10090.ENSMUSP00000099950	10090.ENSMUSP00000018744	0.288	0	0	0	0.346	0.166	0.900	0.328	0.969
Lrp5	Dkk1	2096438	2096415	10090.ENSMUSP00000025856	10090.ENSMUSP00000025803	0	0	0	0	0	0	0.800	0.848	0.968
Fzd3	Wnt2	2112550	2094091	10090.ENSMUSP00000115325	10090.ENSMUSP00000010941	0	0	0	0	0	0.257	0.800	0.802	0.968
Fzd9	Dvl1	2102740	2098025	10090.ENSMUSP00000053551	10090.ENSMUSP00000030948	0	0	0	0	0	0.300	0.800	0.790	0.968
Wif1	Wnt3	2094864	2093060	10090.ENSMUSP00000020439	10090.ENSMUSP00000000127	0	0	0	0	0	0.088	0.894	0.699	0.968
Fzd3	Wnt2b	2112550	2097506	10090.ENSMUSP00000115325	10090.ENSMUSP00000029429	0	0	0	0	0	0.257	0.800	0.800	0.967
Mthfr	Shmt1	2105247	2094559	10090.ENSMUSP00000069774	10090.ENSMUSP00000018744	0.069	0	0	0	0	0	0.900	0.682	0.967
Ep300	Ccnd3	2104849	2100390	10090.ENSMUSP00000066789	10090.ENSMUSP00000040488	0	0	0	0	0	0.166	0.954	0.217	0.967
Wnt7b	Fzd7	2111258	2100625	10090.ENSMUSP00000105051	10090.ENSMUSP00000041825	0	0	0	0	0	0.257	0.882	0.641	0.966
Csnk2a1	Dvl1	2109556	2098025	10090.ENSMUSP00000096829	10090.ENSMUSP00000030948	0	0	0	0	0	0.538	0.922	0.134	0.966
Dvl2	Csnk1d	2094637	2094490	10090.ENSMUSP00000019362	10090.ENSMUSP00000018274	0	0	0	0	0	0.165	0.869	0.717	0.966
Fzd3	Wnt16	2112550	2098273	10090.ENSMUSP00000115325	10090.ENSMUSP00000031681	0	0	0	0	0	0.255	0.800	0.784	0.965
Wnt5a	Fzd6	2104589	2095664	10090.ENSMUSP00000064878	10090.ENSMUSP00000022906	0	0	0	0	0	0.257	0.800	0.783	0.965
Shmt2	Dhfr	2096621	2095430	10090.ENSMUSP00000026470	10090.ENSMUSP00000022218	0	0	0	0	0.184	0	0.900	0.612	0.965
Axin1	Ppp2r1a	2105990	2093917	10090.ENSMUSP00000073974	10090.ENSMUSP00000007708	0	0	0	0	0	0.565	0.900	0.270	0.965
Wnt5a	Dkk1	2104589	2096415	10090.ENSMUSP00000064878	10090.ENSMUSP00000025803	0	0	0	0	0	0	0.389	0.945	0.965
Wnt9a	Fzd2	2111153	2108516	10090.ENSMUSP00000104411	10090.ENSMUSP00000091463	0	0	0	0	0	0.204	0.800	0.803	0.965
Csnk1a1	Apc	2113706	2106775	10090.ENSMUSP00000128871	10090.ENSMUSP00000078337	0	0	0	0	0	0.167	0.954	0.176	0.965
Wnt2b	Fzd6	2097506	2095664	10090.ENSMUSP00000029429	10090.ENSMUSP00000022906	0	0	0	0	0	0.257	0.800	0.785	0.965
Csnk2a1	Jun	2109556	2102864	10090.ENSMUSP00000096829	10090.ENSMUSP00000054270	0	0	0	0	0	0.622	0.628	0.775	0.965
Fzd3	Wnt5a	2112550	2104589	10090.ENSMUSP00000115325	10090.ENSMUSP00000064878	0	0	0	0	0	0.257	0.800	0.781	0.964
Fzd2	Lrp5	2108516	2096438	10090.ENSMUSP00000091463	10090.ENSMUSP00000025856	0	0	0	0	0	0	0.900	0.658	0.964
Wnt1	Wif1	2095926	2094864	10090.ENSMUSP00000023734	10090.ENSMUSP00000020439	0	0	0	0	0	0.165	0.922	0.501	0.964
Jun	Ctnnb1	2102864	2093883	10090.ENSMUSP00000054270	10090.ENSMUSP00000007130	0	0	0	0	0	0.490	0.559	0.855	0.964
Wnt9a	Wif1	2111153	2094864	10090.ENSMUSP00000104411	10090.ENSMUSP00000020439	0	0	0	0	0	0.081	0.939	0.392	0.963
Porcn	Wnt6	2106493	2093841	10090.ENSMUSP00000076790	10090.ENSMUSP00000006716	0	0	0	0	0	0.539	0.900	0.272	0.963
Wnt3a	Sfrp4	2094044	2093430	10090.ENSMUSP00000010044	10090.ENSMUSP00000002883	0	0	0	0	0	0.576	0.800	0.604	0.963
Wnt8b	Wnt8a	2100807	2094132	10090.ENSMUSP00000042867	10090.ENSMUSP00000012426	0	0	0	0.963	0	0	0.961	0.788	0.962
Wnt4	Fzd6	2099636	2095664	10090.ENSMUSP00000036580	10090.ENSMUSP00000022906	0	0	0	0	0	0.257	0.800	0.766	0.962
Dvl1	Csnk1d	2098025	2094490	10090.ENSMUSP00000030948	10090.ENSMUSP00000018274	0	0	0	0	0	0.165	0.869	0.677	0.962
Dvl1	Lrp5	2098025	2096438	10090.ENSMUSP00000030948	10090.ENSMUSP00000025856	0	0	0	0	0	0	0.900	0.642	0.962
Fzd4	Wnt4	2102112	2099636	10090.ENSMUSP00000049852	10090.ENSMUSP00000036580	0	0	0	0	0	0.257	0.800	0.768	0.962
Wnt9a	Fzd9	2111153	2102740	10090.ENSMUSP00000104411	10090.ENSMUSP00000053551	0	0	0	0	0	0.204	0.800	0.782	0.962
Paics	Mthfd1	2098091	2095182	10090.ENSMUSP00000031160	10090.ENSMUSP00000021443	0.586	0	0	0	0.824	0	0	0.519	0.962
Mtr	Shmt2	2109768	2096621	10090.ENSMUSP00000097442	10090.ENSMUSP00000026470	0	0	0	0	0	0	0.900	0.629	0.961
Fpgs	Shmt1	2097116	2094559	10090.ENSMUSP00000028148	10090.ENSMUSP00000018744	0	0	0	0	0.148	0.249	0.900	0.465	0.961
Wnt11	Dvl2	2104506	2094637	10090.ENSMUSP00000064333	10090.ENSMUSP00000019362	0	0	0	0	0	0.232	0.900	0.542	0.961
Fzd5	Wnt8a	2104983	2094132	10090.ENSMUSP00000067783	10090.ENSMUSP00000012426	0	0	0	0	0	0.204	0.878	0.633	0.961
Dvl2	Wnt8a	2094637	2094132	10090.ENSMUSP00000019362	10090.ENSMUSP00000012426	0	0	0	0	0	0.232	0.900	0.538	0.961
Fzd9	Wnt8b	2102740	2100807	10090.ENSMUSP00000053551	10090.ENSMUSP00000042867	0	0	0	0	0	0.204	0.878	0.634	0.961
Fzd2	Wnt16	2108516	2098273	10090.ENSMUSP00000091463	10090.ENSMUSP00000031681	0	0	0	0	0	0.255	0.800	0.761	0.961
Sfrp2	Wnt10a	2097579	2093842	10090.ENSMUSP00000029625	10090.ENSMUSP00000006718	0	0	0	0	0	0.638	0.800	0.508	0.961
Mthfd2	Ftcd	2093734	2093205	10090.ENSMUSP00000005810	10090.ENSMUSP00000001183	0.462	0	0	0	0	0	0.900	0.341	0.961
Ggh	Fpgs	2109312	2097116	10090.ENSMUSP00000095843	10090.ENSMUSP00000028148	0	0	0	0	0	0	0.900	0.634	0.961
Fzd8	Wnt8a	2100231	2094132	10090.ENSMUSP00000039660	10090.ENSMUSP00000012426	0	0	0	0	0	0.204	0.878	0.635	0.961
Wnt8b	Fzd8	2100807	2100231	10090.ENSMUSP00000042867	10090.ENSMUSP00000039660	0	0	0	0	0	0.204	0.878	0.632	0.961
Fzd9	Wnt3a	2102740	2094044	10090.ENSMUSP00000053551	10090.ENSMUSP00000010044	0	0	0	0	0	0.257	0.800	0.759	0.961
Wnt8b	Fzd6	2100807	2095664	10090.ENSMUSP00000042867	10090.ENSMUSP00000022906	0	0	0	0	0	0.204	0.878	0.621	0.960
Mtr	Ahcyl1	2109768	2097534	10090.ENSMUSP00000097442	10090.ENSMUSP00000029490	0.274	0	0	0	0	0	0.900	0.505	0.960
Wnt8b	Dvl1	2100807	2098025	10090.ENSMUSP00000042867	10090.ENSMUSP00000030948	0	0	0	0	0	0.232	0.900	0.522	0.960
Mat2a	Ahcy	2107985	2104120	10090.ENSMUSP00000087118	10090.ENSMUSP00000061851	0.454	0	0	0	0.697	0	0	0.783	0.960
Fzd6	Wnt2	2095664	2094091	10090.ENSMUSP00000022906	10090.ENSMUSP00000010941	0	0	0	0	0	0.257	0.800	0.751	0.959
Dmgdh	Gnmt	2100232	2093424	10090.ENSMUSP00000039663	10090.ENSMUSP00000002846	0	0	0	0	0.443	0	0.900	0.334	0.959
Mthfr	Mthfd2	2105247	2093734	10090.ENSMUSP00000069774	10090.ENSMUSP00000005810	0.399	0	0	0	0	0	0.900	0.386	0.959
Fzd3	Wnt9a	2112550	2111153	10090.ENSMUSP00000115325	10090.ENSMUSP00000104411	0	0	0	0	0	0.204	0.800	0.757	0.958
Fzd1	Wnt4	2103611	2099636	10090.ENSMUSP00000058629	10090.ENSMUSP00000036580	0	0	0	0	0	0.257	0.800	0.743	0.958
Fzd3	Wnt4	2112550	2099636	10090.ENSMUSP00000115325	10090.ENSMUSP00000036580	0	0	0	0	0	0.257	0.800	0.744	0.958
Wnt7a	Fzd6	2098401	2095664	10090.ENSMUSP00000032180	10090.ENSMUSP00000022906	0	0	0	0	0	0.257	0.800	0.744	0.958
Wnt9a	Fzd5	2111153	2104983	10090.ENSMUSP00000104411	10090.ENSMUSP00000067783	0	0	0	0	0	0.204	0.800	0.758	0.958
Wnt9a	Fzd8	2111153	2100231	10090.ENSMUSP00000104411	10090.ENSMUSP00000039660	0	0	0	0	0	0.204	0.800	0.757	0.958
Fzd2	Wnt4	2108516	2099636	10090.ENSMUSP00000091463	10090.ENSMUSP00000036580	0	0	0	0	0	0.257	0.800	0.743	0.958
Fzd3	Wnt3a	2112550	2094044	10090.ENSMUSP00000115325	10090.ENSMUSP00000010044	0	0	0	0	0	0.257	0.800	0.743	0.958
Fzd3	Wnt7b	2112550	2111258	10090.ENSMUSP00000115325	10090.ENSMUSP00000105051	0	0	0	0	0	0.257	0.800	0.744	0.958
Apc	Dvl1	2106775	2098025	10090.ENSMUSP00000078337	10090.ENSMUSP00000030948	0	0	0	0	0	0.360	0.908	0.355	0.958
Ahcyl2	Mtr	2112079	2109768	10090.ENSMUSP00000110897	10090.ENSMUSP00000097442	0.274	0	0	0	0	0	0.900	0.475	0.958
Fzd3	Wnt7a	2112550	2098401	10090.ENSMUSP00000115325	10090.ENSMUSP00000032180	0	0	0	0	0	0.257	0.800	0.737	0.957
Fzd9	Wnt3	2102740	2093060	10090.ENSMUSP00000053551	10090.ENSMUSP00000000127	0	0	0	0	0	0.257	0.800	0.734	0.957
Fzd9	Wnt4	2102740	2099636	10090.ENSMUSP00000053551	10090.ENSMUSP00000036580	0	0	0	0	0	0.257	0.800	0.734	0.957
Fzd5	Wnt8b	2104983	2100807	10090.ENSMUSP00000067783	10090.ENSMUSP00000042867	0	0	0	0	0	0.204	0.878	0.592	0.957
Fzd4	Wnt8a	2102112	2094132	10090.ENSMUSP00000049852	10090.ENSMUSP00000012426	0	0	0	0	0	0.204	0.878	0.592	0.957
Wnt7b	Fzd6	2111258	2095664	10090.ENSMUSP00000105051	10090.ENSMUSP00000022906	0	0	0	0	0	0.257	0.800	0.737	0.957
Mthfd1	Mthfd2	2095182	2093734	10090.ENSMUSP00000021443	10090.ENSMUSP00000005810	0.454	0	0	0.843	0.077	0.165	0.900	0.702	0.957
Wnt2b	Lrp5	2097506	2096438	10090.ENSMUSP00000029429	10090.ENSMUSP00000025856	0	0	0	0	0	0	0.800	0.796	0.957
Fzd3	Wnt5b	2112550	2112347	10090.ENSMUSP00000115325	10090.ENSMUSP00000113188	0	0	0	0	0	0.257	0.800	0.737	0.957
Wnt1	Wnt3a	2095926	2094044	10090.ENSMUSP00000023734	10090.ENSMUSP00000010044	0	0	0	0.932	0	0.565	0.900	0.873	0.957
Fzd6	Wnt3a	2095664	2094044	10090.ENSMUSP00000022906	10090.ENSMUSP00000010044	0	0	0	0	0	0.257	0.800	0.734	0.957
Fzd9	Wnt16	2102740	2098273	10090.ENSMUSP00000053551	10090.ENSMUSP00000031681	0	0	0	0	0	0.255	0.800	0.734	0.956
Wnt9a	Fzd7	2111153	2100625	10090.ENSMUSP00000104411	10090.ENSMUSP00000041825	0	0	0	0	0	0.204	0.800	0.750	0.956
Wnt9a	Fzd1	2111153	2103611	10090.ENSMUSP00000104411	10090.ENSMUSP00000058629	0	0	0	0	0	0.204	0.800	0.750	0.956
Aldh1l1	Mthfd1	2098399	2095182	10090.ENSMUSP00000032175	10090.ENSMUSP00000021443	0.069	0	0	0	0.086	0.073	0.900	0.535	0.956
Wnt9a	Fzd4	2111153	2102112	10090.ENSMUSP00000104411	10090.ENSMUSP00000049852	0	0	0	0	0	0.204	0.800	0.750	0.956
Fzd8	Wnt2b	2100231	2097506	10090.ENSMUSP00000039660	10090.ENSMUSP00000029429	0	0	0	0	0	0.257	0.800	0.725	0.955
Pygo1	Ctnnb1	2101082	2093883	10090.ENSMUSP00000044368	10090.ENSMUSP00000007130	0	0	0	0	0	0.386	0.900	0.333	0.955
Gsk3b	Wnt2	2095854	2094091	10090.ENSMUSP00000023507	10090.ENSMUSP00000010941	0	0	0	0	0	0.246	0.311	0.921	0.955
Fzd3	Wnt3	2112550	2093060	10090.ENSMUSP00000115325	10090.ENSMUSP00000000127	0	0	0	0	0	0.257	0.800	0.721	0.955
Wnt2b	Wnt2	2097506	2094091	10090.ENSMUSP00000029429	10090.ENSMUSP00000010941	0	0	0	0.978	0	0.565	0.900	0.725	0.955
Wnt8b	Dvl2	2100807	2094637	10090.ENSMUSP00000042867	10090.ENSMUSP00000019362	0	0	0	0	0	0.232	0.900	0.472	0.955
Fzd5	Wnt2b	2104983	2097506	10090.ENSMUSP00000067783	10090.ENSMUSP00000029429	0	0	0	0	0	0.257	0.800	0.724	0.955
Wnt9a	Fzd6	2111153	2095664	10090.ENSMUSP00000104411	10090.ENSMUSP00000022906	0	0	0	0	0	0.204	0.800	0.742	0.955
Dhfr	Mthfd1	2095430	2095182	10090.ENSMUSP00000022218	10090.ENSMUSP00000021443	0.104	0	0	0	0.156	0	0.900	0.484	0.955
Fzd9	Dvl2	2102740	2094637	10090.ENSMUSP00000053551	10090.ENSMUSP00000019362	0	0	0	0	0	0.300	0.800	0.706	0.955
Wnt5b	Fzd5	2112347	2104983	10090.ENSMUSP00000113188	10090.ENSMUSP00000067783	0	0	0	0	0	0.268	0.800	0.712	0.954
Fzd6	Wnt3	2095664	2093060	10090.ENSMUSP00000022906	10090.ENSMUSP00000000127	0	0	0	0	0	0.257	0.800	0.720	0.954
Fzd5	Wnt4	2104983	2099636	10090.ENSMUSP00000067783	10090.ENSMUSP00000036580	0	0	0	0	0	0.257	0.800	0.721	0.954
Wnt3a	Ctnnb1	2094044	2093883	10090.ENSMUSP00000010044	10090.ENSMUSP00000007130	0	0	0	0	0	0.287	0.493	0.885	0.954
Dvl1	Wnt8a	2098025	2094132	10090.ENSMUSP00000030948	10090.ENSMUSP00000012426	0	0	0	0	0	0.232	0.900	0.455	0.954
Mtr	Gart	2109768	2095908	10090.ENSMUSP00000097442	10090.ENSMUSP00000023684	0	0	0	0	0	0	0.900	0.566	0.954
Wnt5b	Fzd6	2112347	2095664	10090.ENSMUSP00000113188	10090.ENSMUSP00000022906	0	0	0	0	0	0.257	0.800	0.718	0.954
